,회사명,ROA,PER
710,삼현철강,2.44,9.48
711,삼호,11.46,2.93
712,삼호개발,10.91,5.28
713,삼화네트웍스,50.18,34.52
714,삼화왕관,8.68,13.61
715,삼화전기,2.66,34.9
716,삼화전자,-3.69,61.06
717,삼화콘덴서,11.43,37.22
718,삼화페인트,2.19,74.78
719,상보,-4.92,-4.11
720,상신브레이크,7.72,6.47
721,상신이디피,-2.96,42.11
722,상아프론테크,6.51,25.02
723,새로닉스,7.3,21.34
724,새론오토모티브,9.36,8.54
725,샘표,1.67,7.22
726,샘표식품,0.0,11.3
727,서린바이오,0.66,30.17
728,서부T&D,1.16,-239.64
729,서산,7.98,13.12
730,서암기계공업,-0.19,19.81
731,서연,1.73,2.55
732,서연이화,3.55,2.52
733,서연전자,2.24,19.31
734,서연탑메탈,-0.48,5.82
735,서울가스,-4.8,24.68
736,서울리거,-1.62,-70.36
737,서울반도체,7.58,23.67
738,서울식품,-0.76,116.9
739,서울옥션,3.7,84.59
740,서울전자통신,6.05,-25.81
741,서울제약,2.48,-169.74
742,서원,3.56,29.95
743,서원인텍,3.61,13.22
744,서전기전,-1.46,16.01
745,서진오토모티브,-4.8,21.08
746,서플러스글로벌,0.0,10.24
747,서한,23.65,3.22
748,서호전기,18.59,6.26
749,서흥,7.67,14.88
750,서희건설,12.4,5.69
751,선광,2.05,9.28
752,선데이토즈,17.6,19.55
753,선도전기,0.46,31.09
754,선진,9.28,9.26
755,선창산업,3.93,87.5
756,성광벤드,0.02,-94.98
757,성도이엔지,6.74,3.7
758,성문전자,-7.4,-2927.26
759,성보화학,-1.3,29.49
760,성신양회,4.1,-28.71
761,성안,-3.29,-6.34
762,성우전자,4.49,6.62
763,성우테크론,5.48,8.42
764,성우하이텍,2.26,5.65
765,성지건설,-1.13,-12.83
766,성창기업지주,0.21,7.09
767,성창오토텍,1.29,50.86
768,성호전자,0.69,-46.57
769,세기상사,-2.21,841.38
770,세동,-8.19,-5.04
771,세명전기,1.45,40.17
772,세미콘라이트,14.18,-2.72
773,세방,1.22,8.6
774,세방전지,5.95,7.52
775,세보엠이씨,12.43,6.5
776,세아베스틸,2.91,9.05
777,세아제강,2.67,6.92
778,세아특수강,7.83,7.14
779,세아홀딩스,3.41,5.16
780,세우글로벌,3.47,53.44
781,세운메디칼,15.23,26.19
782,세원,0.0,43.91
783,세원물산,-2.7,33.85
784,세원셀론텍,-0.54,66.58
785,세원정공,7.93,-2253.73
786,세이브존I&C,5.03,7.28
787,세종공업,3.06,-14.9
788,세종텔레콤,-2.38,110.33
789,세중,9.79,25.87
790,세진중공업,4.45,47.57
791,세진티에스,11.19,-19.9
792,세코닉스,2.83,75.46
793,세하,8.39,-34.24
794,세화아이엠씨,-0.44,-8.48
795,셀루메드,-6.2,-20.67
796,셀바스AI,-12.29,-22.35
797,셀바스헬스케어,0.0,-18.69
798,셀트리온,10.25,109.18
799,셀트리온제약,1.7,10318.45
800,소리바다,-0.23,-9.59
801,소프트센,2.4,-44.54
802,손오공,3.49,-6.74
803,솔고바이오,-14.37,-9.36
804,솔루에타,-0.35,-28.21
805,솔본,1.07,-76.54
806,솔브레인,12.65,36.3
807,솔트웍스,0.0,-10.35
808,송원산업,7.49,16.35
809,쇼박스,11.8,32.64
810,수산아이앤티,0.0,16.67
811,수산중공업,1.83,24.88
812,수성,3.94,-45.43
813,수출포장,-0.41,-18.48
814,슈프리마,0.0,14.99
815,슈프리마에이치큐,2.15,8.8
816,슈피겐코리아,17.49,7.07
817,스맥,3.52,17.35
818,스카이라이프,9.6,11.85
819,스타플렉스,6.46,21.58
820,스틸플라워,-8.05,-0.31
821,스페코,1.99,21.93
822,스포츠서울,0.0,-3.87
823,승일,2.07,23.68
824,시공테크,-3.45,11.79
825,시그네틱스,1.33,41.3
826,시노펙스,12.26,38.53
827,시큐브,3.09,48.57
828,신대양제지,-0.23,24.43
829,신도리코,-1.02,22.07
830,신라교역,3.88,6.94
831,신라섬유,3.24,137.31
832,신라에스지,2.74,43.73
833,신라젠,-31.4,-93.61
